data_source,f_1,kappa,sigma,xi
ALACANT/ALICANTE summer,0.07581227436823104,0.6672674521623599,39.64729999298078,-0.20008864141695884
ALACANT/ALICANTE autumn,0.14308943089430895,0.8137880954687968,12.142705430657495,0.005986678747022123
ALACANT/ALICANTE winter,0.15492957746478872,0.9247947570953089,12.102335926942605,0.06346708395989514
ALBACETE BASE AEREA all,0.20269763956538028,0.8446412351568046,10.097872725112488,0.14025311439214114
ALBACETE BASE AEREA spring,0.2361275088547816,0.9164711240205874,6.899293223686117,0.15707834305709842
ALBACETE BASE AEREA summer,0.10432569974554708,0.738437277583069,22.396080005218952,-0.011049638841342737
ALBACETE BASE AEREA autumn,0.18523878437047755,0.8301506896133785,10.116952489252348,0.03820835333911664
ALBACETE BASE AEREA winter,0.23306233062330622,0.8510524723095583,10.698080613231395,-0.0139100981602797
ALGER-DAR EL BEIDA all,0.24161788185204897,0.9523446552738444,6.538708851330749,0.3575523786607991
ALGER-DAR EL BEIDA spring,0.22996515679442509,0.8938371168726668,6.60142571037385,0.19139092759208423
ALGER-DAR EL BEIDA summer,0.09523809523809523,0.5458913594914786,56.000525893038244,-0.3628326329946864
ALGER-DAR EL BEIDA autumn,0.23443983402489627,0.950638660007155,7.103335811945146,0.048081814851800735
ALGER-DAR EL BEIDA winter,0.30126182965299686,0.9193581287015258,6.012793346078712,0.07066301591624083
ALICANTE-ELCHE AEROPUERTO all,0.140625,0.8753894982145496,13.537498187724353,0.12993010441544517
ALICANTE-ELCHE AEROPUERTO spring,0.14161220043572983,0.8981544858884942,10.22009622521135,0.21053516694982108
ALICANTE-ELCHE AEROPUERTO summer,0.05263157894736842,0.728230845758823,38.11773630979645,-0.19955603867163996
ALICANTE-ELCHE AEROPUERTO autumn,0.1325581395348837,0.8404172534890256,12.58765874458523,-0.03296126335846779
ALICANTE-ELCHE AEROPUERTO winter,0.19083969465648856,0.9737405322244792,13.66001326315153,0.024804596357638712
ALMEIDINHA all,0.2691496837666901,0.8830591606796738,8.25545939271421,0.21640918895389882
ALMEIDINHA spring,0.26570048309178745,0.913451179030473,6.498149705559393,0.15803823809061657
ALMEIDINHA summer,0.13725490196078433,0.83390932904668,20.48053940352327,0.04715876672598272
ALMEIDINHA autumn,0.2641509433962264,0.9082695615960104,7.349419693534751,0.10522650828029305
ALMEIDINHA winter,0.3387096774193548,0.8440928418491881,7.900322280069196,0.055855431899917526
ALMERIA AEROPUERTO all,0.12165898617511521,0.7529823140134758,19.50584363581162,0.2080721581078498
ALMERIA AEROPUERTO spring,0.11080332409972299,0.693221602327586,17.84487665889312,0.38593419792135236
ALMERIA AEROPUERTO summer,0.012987012987012988,0.8618523211379131,77.70320185593582,-0.49999999999999994
ALMERIA AEROPUERTO autumn,0.1040268456375839,0.7709868343365168,20.213899082579175,-0.11228913860531202
ALMERIA AEROPUERTO winter,0.17191977077363896,0.6963127731680488,20.41260679151474,-0.08036803589641509
AMARANTE all,0.2714797136038186,0.8536035895398137,7.953907360630688,0.08576144670901126
AMARANTE spring,0.28842105263157897,0.9629112891300898,5.773013720269465,0.11986871405773317
AMARANTE summer,0.14,1.025732740068173,13.081365472107496,-0.03781783111683591
